q,stock,weight
10,AAPL,0.11512879031615868
10,AMZN,0.08808323766694735
10,AVGO,0.08491967792124841
10,BRK-B,0.1245981829930058
10,GOOG,0.08550388862969156
10,JNJ,0.09472672301898995
10,MA,0.09006053256291587
10,MS,0.09515641972303225
10,MSFT,0.11154092404575126
10,PG,0.1102816231222588
15,AAPL,0.12412346715911889
15,ACN,0.06501393646871262
15,AMZN,0.07434344689736179
15,BMY,0.046764184998111274
15,BRK-B,0.08759655983555523
15,COST,0.04474947456811568
15,GOOG,0.07796358903763119
15,JPM,0.06757424192924766
15,MS,0.0561623409607519
15,MSFT,0.060414146067047515
15,NVDA,0.05375823636063936
15,PEP,0.07414171210274662
15,PM,0.04776783573595355
15,V,0.06905370112411989
15,VZ,0.050573126754886906
20,AAPL,0.1272899177689443
20,ABBV,0.03656194360421752
20,AMZN,0.05552306798574159
20,AVGO,0.04141095882101284
20,BAC,0.07974454155836376
20,BRK-B,0.06100070881425219
20,CVX,0.035883519781358224
20,GOOG,0.053655665797066696
20,HON,0.02959741567776598
20,LLY,0.035451789480042975
20,MCD,0.06244947021246821
20,META,0.03540177363733744
20,MSFT,0.09389799418410077
20,NVDA,0.04284801461826489
20,PFE,0.031720110817942064
20,PM,0.03791765017236544
20,TMO,0.031402388504525015
20,TXN,0.039851023082356336
20,UNH,0.03475906540419054
20,WMT,0.03363298007768324
25,AAPL,0.05092019582859949
25,AMGN,0.0346250822242105
25,AMZN,0.04849843413744853
25,AVGO,0.041898573366590725
25,BLK,0.02814775187354322
25,CB,0.032000484880686485
25,COST,0.036238849430252525
25,DIS,0.02711477838025804
25,EOG,0.0302939154555088
25,ETN,0.03324152798590046
25,GOOG,0.03855420939750341
25,GOOGL,0.03623559458226837
25,IBM,0.030621711280812567
25,JNJ,0.0545406818269863
25,KO,0.06868430170948872
25,MCD,0.035597047603619626
25,META,0.030380286152972977
25,MS,0.02825052917930394
25,MSFT,0.08990474013644292
25,NVDA,0.03796111136500832
25,SO,0.041040707446044475
25,TSLA,0.032192447699168854
25,UNH,0.03597572050726382
25,V,0.0377491474525055
25,WFC,0.039332170097611426
30,AAPL,0.1153159696269249
30,ABBV,0.029264110497682412
30,ADBE,0.024341798130398936
30,AMZN,0.03637129209599705
30,AVGO,0.0373709371367129
30,BAC,0.028588179422474554
30,BLK,0.024365068135011072
30,BRK-B,0.027643257314492277
30,CAT,0.026748862732199185
30,COST,0.023207683069263553
30,DHR,0.024187894131986628
30,GOOG,0.046202358650200594
30,GOOGL,0.02675416046149582
30,GS,0.03629391614577669
30,IBM,0.02667433896743323
30,JNJ,0.02753151112117933
30,KO,0.05691856403678323
30,LLY,0.02882846221627532
30,META,0.04093767607503086
30,MSFT,0.04105516224946919
30,NVDA,0.028358793265899324
30,ORCL,0.02348985018073249
30,PG,0.029635133653583515
30,RTX,0.024035312617687727
30,SPGI,0.024321427564102795
30,TMUS,0.02752016710702639
30,TSLA,0.03132772643250183
30,UNH,0.025546499107027974
30,UPS,0.021911058903565938
30,XOM,0.03525282895108437
